                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                  1.334,                 1.5554,                0.86182,                 1.0958,                0.79888,                0.83897,                0.84789,                0.45805,                0.67703,                0.61207,                0.62576,                0.17577,                 1.4641,                 2.4233,                0.96079,                 1.2832,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.3104,                  1.528,                0.83954,                 1.0807,                0.84371,                0.76787,                0.83707,                0.46112,                0.71751,                0.60776,                0.58098,                 0.1666,                 1.4728,                 2.4262,                0.99655,                 1.2904,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2971,                 1.5024,                0.84313,                 1.0882,                0.82055,                0.76866,                0.84512,                0.46801,                0.64383,                0.57759,                 0.5279,                0.15176,                 1.5159,                 2.4661,                0.96917,                 1.2964,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2863,                  1.532,                0.82617,                 1.0885,                0.78536,                0.82013,                0.82245,                 0.4459,                 0.6297,                0.65086,                0.54487,                0.15644,                 1.4724,                 2.3453,                0.98824,                 1.2692,               0.000416,               0.000416,               0.000416
                     82,                 1.2998,                 1.5399,                0.80806,                 1.0713,                0.84171,                0.77928,                0.84645,                 0.4623,                0.67437,                0.59052,                0.56863,                0.15931,                 1.4673,                 2.4215,                0.98343,                 1.2738,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2763,                 1.5119,                0.79449,                 1.0542,                0.81462,                0.77657,                0.83802,                 0.4587,                0.61405,                0.62931,                0.53479,                0.15221,                 1.4666,                 2.3896,                0.96753,                 1.2864,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2452,                 1.4497,                0.77303,                 1.0486,                 0.8481,                0.77012,                0.84898,                0.46478,                0.66472,                0.59483,                0.57281,                0.15432,                 1.4787,                 2.4336,                0.97644,                 1.2783,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2766,                 1.4825,                0.79339,                 1.0814,                0.84672,                0.78576,                0.84218,                0.47083,                0.67155,                0.59052,                0.55507,                0.15827,                 1.4385,                 2.3551,                0.95359,                 1.2627,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2301,                   1.46,                0.76579,                 1.0417,                0.84447,                0.77231,                0.84703,                0.46544,                0.62167,                0.61638,                0.53742,                0.14557,                 1.4662,                 2.4471,                0.98931,                 1.2794,               0.000317,               0.000317,               0.000317
                     87,                 1.2563,                 1.4965,                0.79734,                 1.0707,                0.86425,                0.82327,                0.85675,                 0.4742,                0.71005,                0.67557,                0.61157,                0.17337,                 1.4523,                 2.3187,                0.94339,                 1.2678,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2317,                  1.457,                0.77412,                 1.0369,                0.82385,                0.78879,                0.83833,                0.45937,                0.66059,                0.59483,                0.51918,                0.13538,                 1.4728,                 2.3999,                0.94407,                 1.2836,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2225,                 1.4352,                 0.7594,                 1.0419,                 0.8377,                0.79741,                0.85593,                0.48445,                0.69015,                0.64224,                0.62712,                 0.1774,                 1.4684,                 2.3775,                0.95853,                  1.288,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2551,                 1.4514,                0.78232,                 1.0549,                0.82975,                0.81466,                0.85487,                0.47454,                0.68721,                0.61638,                 0.5774,                0.15689,                 1.4669,                 2.4353,                0.95822,                 1.2818,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1845,                 1.4038,                0.74248,                 1.0847,                0.85434,                0.78372,                0.84404,                0.47133,                0.65408,                0.65202,                0.56483,                0.15584,                 1.4865,                 2.4129,                0.92935,                 1.2911,               0.000218,               0.000218,               0.000218
                     92,                  1.164,                 1.3664,                0.74655,                 1.0757,                0.84563,                 0.7931,                0.84021,                0.47122,                0.64463,                0.65086,                0.58088,                0.16615,                 1.4832,                 2.3445,                0.93681,                  1.292,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1572,                 1.3549,                0.71898,                  1.077,                0.83733,                0.79741,                0.84296,                 0.4631,                0.61801,                0.61207,                0.54718,                0.15159,                 1.4963,                 2.4135,                0.95632,                 1.3104,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1562,                 1.3839,                0.71798,                 1.0622,                0.83919,                 0.7931,                0.83932,                0.46239,                 0.6965,                 0.6232,                0.55845,                0.15383,                 1.4826,                 2.3875,                 0.9419,                 1.3079,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1319,                   1.36,                0.69896,                 1.0589,                0.87442,                0.78032,                0.85002,                0.47313,                0.66172,                0.59052,                0.54418,                0.14756,                 1.5075,                 2.4069,                0.94477,                 1.3203,              0.0001388,              0.0001388,              0.0001388
